,ID,Name,Sex,PeoplesCount,WhenPeoplesCount,Source
0,19903,Аалия,Ж,13,23.06.2016 13:39:41,myData.biz
1,19904,Аанжелла,Ж,0,23.06.2016 13:39:46,myData.biz
2,19905,Аба,Ж,1000,23.06.2016 13:39:55,myData.biz
3,19906,Абав,Ж,0,23.06.2016 13:40:02,myData.biz
4,19907,Абам,Ж,32,23.06.2016 13:40:11,myData.biz
5,19908,Абаханум,Ж,4,23.06.2016 13:40:19,myData.biz
6,19909,Абаш,Ж,125,23.06.2016 13:40:27,myData.biz
7,19910,Аббаза,Ж,3,23.06.2016 13:40:34,myData.biz
8,19911,Абгюль,Ж,0,23.06.2016 13:40:42,myData.biz
9,19912,Абдужалия,Ж,0,23.06.2016 13:40:50,myData.biz
10,19913,Абдулния,Ж,1,23.06.2016 13:40:58,myData.biz
11,19914,Абдулпетта,Ж,2,23.06.2016 13:41:07,myData.biz
12,19915,Абдулька,Ж,5,23.06.2016 13:41:14,myData.biz
13,19916,Абдупатта,Ж,0,23.06.2016 13:41:23,myData.biz
14,19917,Абдурасуль,Ж,1,23.06.2016 13:41:30,myData.biz
15,19918,Абдурефи,Ж,24,23.06.2016 13:41:40,myData.biz
16,19919,Абдурома,Ж,3,23.06.2016 13:41:47,myData.biz
17,19920,Абдюль,Ж,11,23.06.2016 13:41:54,myData.biz
18,19921,Абелина,Ж,30,23.06.2016 13:42:03,myData.biz
19,19922,Абель,Ж,892,23.06.2016 13:42:11,myData.biz
20,19923,Абибат,Ж,2,23.06.2016 13:42:18,myData.biz
21,19924,Абигейль,Ж,0,23.06.2016 13:42:26,myData.biz
22,19925,Абигель,Ж,48,23.06.2016 13:42:35,myData.biz
23,19926,Абика,Ж,62,23.06.2016 13:42:43,myData.biz
24,19927,Абилфетта,Ж,3,23.06.2016 13:42:53,myData.biz
25,19928,Аблялиль,Ж,2,23.06.2016 13:42:58,myData.biz
26,19929,Абрагина,Ж,36,23.06.2016 13:43:07,myData.biz
27,19930,Абрамия,Ж,39,23.06.2016 13:43:16,myData.biz
28,19931,Абраша,Ж,71,23.06.2016 13:43:23,myData.biz
29,19932,Абрииа,Ж,0,23.06.2016 13:43:30,myData.biz
30,19933,Абуватфа,Ж,7,23.06.2016 13:43:39,myData.biz
31,19934,Абузарь,Ж,0,23.06.2016 13:43:46,myData.biz
32,19935,Абульфаза,Ж,1,23.06.2016 13:43:54,myData.biz
33,19936,Абуся,Ж,0,23.06.2016 13:44:02,myData.biz
34,19937,Абута,Ж,2,23.06.2016 13:44:10,myData.biz
35,19938,Абутаима,Ж,2,23.06.2016 13:44:18,myData.biz
36,19939,Авагея,Ж,4,23.06.2016 13:44:26,myData.biz
37,19940,Аванда,Ж,18,23.06.2016 13:44:35,myData.biz
38,19941,Аванна,Ж,10,23.06.2016 13:44:43,myData.biz
39,19942,Авашарфа,Ж,3,23.06.2016 13:44:51,myData.biz
40,19943,Авашерфа,Ж,0,23.06.2016 13:44:58,myData.biz
41,19944,Аващарфа,Ж,1,23.06.2016 13:45:06,myData.biz
42,19945,Авгалифена,Ж,0,23.06.2016 13:45:14,myData.biz
43,19946,Авгела,Ж,1,23.06.2016 13:45:22,myData.biz
44,19947,Авгения,Ж,0,23.06.2016 13:45:30,myData.biz
45,19948,Авгиння,Ж,3,23.06.2016 13:45:38,myData.biz
46,19949,Авгусита,Ж,1,23.06.2016 13:45:46,myData.biz
47,19950,Августа,Ж,13000,23.06.2016 13:45:55,myData.biz
48,19951,Августина,Ж,5000,23.06.2016 13:46:03,myData.biz
49,19952,Августиния,Ж,9,23.06.2016 13:46:11,myData.biz
50,19953,Авдия,Ж,14,23.06.2016 13:46:20,myData.biz
51,19954,Авдокия,Ж,4,23.06.2016 13:46:27,myData.biz
52,19955,Авдоля,Ж,2,23.06.2016 13:46:34,myData.biz
53,19956,Авдотия,Ж,21,23.06.2016 13:46:45,myData.biz
54,19957,Авдотья,Ж,2000,23.06.2016 13:46:51,myData.biz
55,19958,Авдоха,Ж,7,23.06.2016 13:46:58,myData.biz
56,19959,Авелина,Ж,0,23.06.2016 13:47:06,myData.biz
57,19960,Авелия,Ж,62,23.06.2016 13:47:15,myData.biz
58,19961,Авеля,Ж,11,23.06.2016 13:47:23,myData.biz
59,19962,Авенгилина,Ж,3,23.06.2016 13:47:30,myData.biz
60,19963,Авенила,Ж,0,23.06.2016 13:47:38,myData.biz
61,19964,Авения,Ж,5,23.06.2016 13:47:47,myData.biz
62,19965,Авентина,Ж,7,23.06.2016 13:47:55,myData.biz
63,19966,Авера,Ж,37,23.06.2016 13:48:03,myData.biz
64,19967,Авереса,Ж,1,23.06.2016 13:48:10,myData.biz
65,19968,Аверида,Ж,6,23.06.2016 13:48:19,myData.biz
66,19969,Аверия,Ж,24,23.06.2016 13:48:27,myData.biz
67,19970,Авета,Ж,0,23.06.2016 13:48:34,myData.biz
68,19971,Аветлана,Ж,3,23.06.2016 13:48:43,myData.biz
69,19972,Аветра,Ж,0,23.06.2016 13:48:50,myData.biz
70,19973,Авза,Ж,308,23.06.2016 13:48:59,myData.biz
71,19974,Авзаль,Ж,18,23.06.2016 13:49:08,myData.biz
72,19975,Авиа,Ж,11000,23.06.2016 13:49:15,myData.biz
73,19976,Авиада,Ж,2,23.06.2016 13:49:24,myData.biz
74,19977,Авиана,Ж,14,23.06.2016 13:49:33,myData.biz
75,19978,Авиата,Ж,0,23.06.2016 13:49:38,myData.biz
76,19979,Авиатта,Ж,0,23.06.2016 13:49:46,myData.biz
77,19980,Авигея,Ж,146,23.06.2016 13:49:55,myData.biz
78,19981,Авиета,Ж,6,23.06.2016 13:50:03,myData.biz
79,19982,Авизия,Ж,0,23.06.2016 13:50:10,myData.biz
80,19983,Авила,Ж,3000,23.06.2016 13:50:19,myData.biz
81,19984,Авилина,Ж,73,23.06.2016 13:50:27,myData.biz
82,19985,Авина,Ж,225,23.06.2016 13:50:35,myData.biz
83,19986,Авиона,Ж,2,23.06.2016 13:50:42,myData.biz
84,19987,Авиреза,Ж,5,23.06.2016 13:50:51,myData.biz
85,19988,Авиталь,Ж,176,23.06.2016 13:50:59,myData.biz
86,19989,Авиша,Ж,7,23.06.2016 13:51:07,myData.biz
87,19990,Авиэта,Ж,3,23.06.2016 13:51:15,myData.biz
88,19991,Авия,Ж,114,23.06.2016 13:51:23,myData.biz
89,19992,Авксения,Ж,1,23.06.2016 13:51:30,myData.biz
90,19993,Авксентия,Ж,4,23.06.2016 13:51:38,myData.biz
